_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
1,A0075579,BAILEY,DOG,BLACK,RED,LABRADOR RETR,SPAYED,1994-01-16T00:00:00,16 YEARS,2024-10-15T00:00:00,MED R,STRAY,OTC,,2024-10-15T00:00:00,RTO,,MED R,SENTER RD X TULLY RD,SAN JOSE,2024-10-15T00:00:00
2,A0533827,PATCHES,DOG,TRICOLOR,BLACK,PARSON RUSS TER,NEUTERED,2006-02-06T00:00:00,19 YEARS,2024-08-28T00:00:00,MED SEV,EUTH REQ,,,2024-08-28T00:00:00,RTO,,MED SEV,,SANTA CLARA,2024-08-28T00:00:00
3,A0538570,CARAMEL,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2024-09-30T00:00:00,DEAD,DISPO REQ,OTC,,2024-09-30T00:00:00,DISPOSAL,,DEAD,HEIMGARTNER LN,SAN JOSE,2024-09-30T00:00:00
4,A0564053,BISCUIT,CAT,ORANGE,,DOMESTIC SH,NEUTERED,2007-06-01T00:00:00,17 YEARS,2024-10-29T00:00:00,DEAD,DISPO REQ,OTC,,2024-10-29T00:00:00,DISPOSAL,,DEAD,STARLITE DR,MILPITAS,2024-10-29T00:00:00
5,A0569573,SHALE,CAT,BLACK,,DOMESTIC SH,SPAYED,2007-10-12T00:00:00,16 YEARS,2024-09-25T00:00:00,MED SEV,STRAY,OTC,,2024-09-25T00:00:00,EUTH,,MED SEV,1600 BLOCK ALMADEN RD,SAN JOSE,2024-09-25T00:00:00
6,A0608333,BLACK,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2008-05-05T00:00:00,17 YEARS,2024-08-31T00:00:00,MED R,STRAY,OTC,,2024-09-03T00:00:00,RTF,,FERAL,RIVER VIEW DR,SAN JOSE,2024-09-03T00:00:00
7,A0636780,SPONGIE,DOG,FAWN,,POODLE MIN,NEUTERED,,NO AGE,2024-07-22T00:00:00,MED SEV,STRAY,OTC,,2024-07-22T00:00:00,RTO,,MED SEV,SNELL AVE,SAN JOSE,2024-08-02T00:00:00
8,A0643984,TAMIA,DOG,BROWN,,CHIHUAHUA SH,SPAYED,2009-02-02T00:00:00,15 YEARS,2024-10-30T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-10-30T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-10-30T00:00:00
9,A0652502,KUJO,CAT,BLACK,,DOMESTIC SH,NEUTERED,2009-04-16T00:00:00,15 YEARS,2024-11-06T00:00:00,DEAD,DISPO REQ,FIELD,,2025-02-01T00:00:00,DISPOSAL,,DEAD,JASMINE X YERBA BUENA,SAN JOSE,2025-02-01T00:00:00
10,A0663870,ERNIE,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2005-12-29T00:00:00,18 YEARS,2024-11-21T00:00:00,DEAD,DISPO REQ,OTC OWNED,,2024-11-21T00:00:00,DISPOSAL,,DEAD,,SAN JOSE,2024-11-21T00:00:00
